keyword,title,price,rating,reviews,platform,position,delivery,discount,brand,visibility_score,price_range
office chair ergonomic,Hp Office Chair Ergonomic Model 603,36225.0,3.7,3241.0,Croma,,2 Days,,Hp,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 877,2507.0,4.7,3446.0,Flipkart,,Unknown,,Dell,,Budget
men running shoes,Dell Men Running Shoes Model 536,2176.0,3.8,2031.0,Croma,,5 Days,,Dell,,Budget
power bank fast charging,Samsung Power Bank Fast Charging Model 562,5331.0,,4124.0,Reliance Digital,,5 Days,,Samsung,,Mid-Range
office chair ergonomic,Philips Office Chair Ergonomic Model 836,4564.0,3.0,1540.0,Amazon,,Free Delivery,,Philips,,Budget
microwave oven convection,Boat Microwave Oven Convection Model 588,21830.0,4.0,126.0,Croma,,Free Delivery,,Boat,,Premium
office chair ergonomic,Puma Office Chair Ergonomic Model 591,19233.0,4.6,3911.0,Reliance Digital,,5 Days,,Puma,,Mid-Range
men running shoes,Boat Men Running Shoes Model 859,20381.0,,684.0,Amazon,,2 Days,,Boat,,Premium
office chair ergonomic,Puma Office Chair Ergonomic Model 417,8744.0,4.9,3832.0,Croma,,2 Days,,Puma,,Mid-Range
power bank fast charging,Dell Power Bank Fast Charging Model 575,190200.0,4.5,4367.0,Croma,,Free Delivery,,Dell,,Luxury
power bank fast charging,Sony Power Bank Fast Charging Model 896,5150.0,5.0,2220.0,Croma,,2 Days,,Sony,,Mid-Range
air fryer india,Philips Air Fryer India Model 339,45304.0,2.7,1761.0,Reliance Digital,,2 Days,,Philips,,Premium
men running shoes,Philips Men Running Shoes Model 418,9160.0,3.7,2887.0,Amazon,,5 Days,,Philips,,Mid-Range
power bank fast charging,Lg Power Bank Fast Charging Model 382,10945.0,2.9,3032.0,Amazon,,Free Delivery,,Lg,,Mid-Range
microwave oven convection,Hp Microwave Oven Convection Model 409,17931.0,2.9,4166.0,Amazon,,2 Days,,Hp,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 198,15160.0,3.2,1275.0,Flipkart,,2 Days,,Puma,,Mid-Range
air fryer india,Sony Air Fryer India Model 266,45361.0,3.1,2934.0,Croma,,5 Days,,Sony,,Premium
power bank fast charging,Puma Power Bank Fast Charging Model 621,48199.0,,203.0,Amazon,,2 Days,,Puma,,Premium
